Filename	ScanNumber	PrecursorMZ	RetentionTime	ScanType	Rank	ParentMassError	ExplainedPeaks	Score	Identifier	Name	OriginalInChI	IdentifiedInChI	Modifications	Links
m/z	Intensity	Resolution	Baseline	Noise	Charge	SMILES	ProtonOffset	m/zError	FragmentationLevel
742.0503238	0.114324796717	0	0	0	0	NA	NA	NA	NA
1018.407441	0.103380884257	0	0	0	0	NA	NA	NA	NA
1296.141823	0.102143179371	0	0	0	0	NA	NA	NA	NA
1313.438235	0.10971271814	0	0	0	0	NA	NA	NA	NA
M	03-day-ctrl-msms-10 pos.FT2	1564404	143.018879284	1564.397	PositiveIon	1	-0.00959773955825	5>20	0.120790412831	MetaCyC_7565	alloxan	InChI=1S/C4H2N2O4/c7-1-2(8)5-4(10)6-3(1)9/h(H2,5,6,8,9,10)	InChI=1S/C4H2N2O4/c7-1-2(8)5-4(10)6-3(1)9/h(H2,5,6,8,9,10)	NA	(MetaCyc=CPD-3684)
60.95113754	0.00905650089738	0	0	0	0	NA	NA	NA	NA
80.03932953	0.00792756214679	0	0	0	0	NA	NA	NA	NA
82.99767457	1.0	0	0	0	0	O=CC=NC=O	1	-0.00305367	2
83.04005888	0.0354139631511	0	0	0	0	NA	NA	NA	NA
83.05965959	0.0155439278047	0	0	0	0	NA	NA	NA	NA
83.07039051	0.0101133717203	0	0	0	0	NA	NA	NA	NA
83.11380248	0.0087225896783	0	0	0	0	NA	NA	NA	NA
83.87879612	0.00938943989388	0	0	0	0	NA	NA	NA	NA
83.98786927	0.011329144797	0	0	0	0	NA	NA	NA	NA
84.00141242	0.0168032513979	0	0	0	0	O=CC=NC=O	2	-0.00714082	2
84.01441766	0.0113899884581	0	0	0	0	N=C(O)CCO	0	0.005864356	2
101.0081135	0.348000430026	0	0	0	0	O=CN=C(O)C=O	2	-0.00317939200001	1
101.027989	0.0376790725514	0	0	0	0	NA	NA	NA	NA
101.0398838	0.0315285265751	0	0	0	0	NA	NA	NA	NA
101.0568905	0.0119665381294	0	0	0	0	NA	NA	NA	NA
101.0670545	0.00790971426455	0	0	0	0	NA	NA	NA	NA
101.7526484	0.00815574510913	0	0	0	0	NA	NA	NA	NA
124.0268509	0.0092859233179	0	0	0	0	NA	NA	NA	NA
142.1223002	0.0236542585272	0	0	0	0	NA	NA	NA	NA
143.0123728	0.0126604110232	0	0	0	0	O=C1N=C(O)C(=O)C(O)=N1	1	0.003091256	0
M	03-day-ctrl-msms-10 pos.FT2	310739	772.591796875	310.732	PositiveIon	1	-0.00616666099972	12>20	0.495021836102	MetaCyC_6493	1-20:0-2-18:2-phosphatidylethanolamine	InChI=1S/C43H82NO8P/c1-3-5-7-9-11-13-15-17-19-20-22-23-25-27-29-31-33-35-42(45)49-39-41(40-51-53(47,48)50-38-37-44)52-43(46)36-34-32-30-28-26-24-21-18-16-14-12-10-8-6-4-2/h12,14,18,21,41H,3-11,13,15-17,19-20,22-40,44H2,1-2H3,(H,47,48)/b14-12-,21-18-	InChI=1S/C43H82NO8P/c1-3-5-7-9-11-13-15-17-19-20-22-23-25-27-29-31-33-35-42(45)49-39-41(40-51-53(47,48)50-38-37-44)52-43(46)36-34-32-30-28-26-24-21-18-16-14-12-10-8-6-4-2/h12,14,18,21,41H,3-11,13,15-17,19-20,22-40,44H2,1-2H3,(H,47,48)/b14-12-,21-18-	NA	(MetaCyc=CPD-8383)
245.2227206	0.0412220850224	0	0	0	0	NA	NA	NA	NA
261.2207948	0.052074111193	0	0	0	0	NA	NA	NA	NA
311.2550519	0.408563773241	0	0	0	0	CCCCCCCCCCCCCCCCC(=O)OCCO	0	-0.00356807999998	3
311.2926709	0.0680800988033	0	0	0	0	CCCCCCCCCCCCCCCCCCCC(=O)O	0	-0.002334588	1
312.2607994	0.0750603829845	0	0	0	0	CCCCCCCCCCCCCCCCC(=O)OCCO	1	-0.00564558000002	3
313.2740287	1.0	0	0	0	0	CCCCCCCCCCCCCCCCC(=O)OCCO	2	-0.000241280000012	3
313.3421891	0.0525343241	0	0	0	0	NA	NA	NA	NA
315.2757469	0.0528213716532	0	0	0	0	NA	NA	NA	NA
337.2750288	0.618515591144	0	0	0	0	CCCCCC=CCC=CCCCCCCCC(=O)OC(C)CO	1	0.000758788000041	2
337.3204273	0.054338202984	0	0	0	0	CCCCCCCCCCCCCCCCCCC(=O)OCCC	0	0.00977174800005	3
338.2749189	0.103073224796	0	0	0	0	CCCCCC=CCC=CCCCCCCCC(=O)OC(C)CO	2	-0.00717611199991	2
339.2862433	0.242746325205	0	0	0	0	CCCCCCCCCCCCCCCCCCC(=O)OCCO	0	-0.00367680799991	3
574.4973927	0.150681404251	0	0	0	0	CCCCCC=CCC=CCCCCCCCC(=O)OCCOC(=O)CCCCCCCCCCCCCCCC	0	0.00128210800005	2
575.5064565	0.686494115857	0	0	0	0	CCCCCC=CCC=CCCCCCCCC(=O)OCCOC(=O)CCCCCCCCCCCCCCCC	1	0.00252090800006	2
592.49572	0.220893219113	0	0	0	0	NA	NA	NA	NA
592.5305649	0.102313527314	0	0	0	0	NA	NA	NA	NA
593.5040616	0.442572839624	0	0	0	0	NA	NA	NA	NA
593.5818983	0.0392986724847	0	0	0	0	NA	NA	NA	NA
771.5768364	0.0610124171313	0	0	0	0	CCCCCC=CCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCCCCCC)COP(=O)(O)OCCN	0	-0.000968814000203	0
772.5877653	0.502803315574	0	0	0	0	CCCCCC=CCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCCCCCC)COP(=O)(O)OCCN	1	0.00213508599973	0
M	03-day-ctrl-msms-10 pos.FT2	1286451	219.097320557	1286.444	PositiveIon	1	0.000775991359376	8>20	0.845052203792	MetaCyC_763	&gamma;-L-glutamyl-D-alanine	InChI=1S/C8H14N2O5/c1-4(7(12)13)10-6(11)3-2-5(9)8(14)15/h4-5H,2-3,9H2,1H3,(H,10,11)(H,12,13)(H,14,15)	InChI=1S/C8H14N2O5/c1-4(7(12)13)10-6(11)3-2-5(9)8(14)15/h4-5H,2-3,9H2,1H3,(H,10,11)(H,12,13)(H,14,15)	NA	(MetaCyc=CPD-407)
60.04414257	0.232372070565	0	0	0	0	NCCO	2	-0.000796178000002	2
75.04656275	0.129481352129	0	0	0	0	CCC(=O)O	2	0.00195835000001	1
90.05676584	0.11412889371	0	0	0	0	CC(N)C(=O)O	2	0.001262408	1
102.0547072	0.481569257649	0	0	0	0	CCC(N)C(=O)O	0	-0.000796296000004	1
112.0994284	0.295100694028	0	0	0	0	CCN=CCCCN	1	-0.000619951999994	3
130.0500544	1.0	0	0	0	0	CC(O)=NC(C)C(=O)O	0	-0.00036371600001	1
130.0870537	0.133847363078	0	0	0	0	CCC(O)=NC(C)CO	2	0.00025014000002	2
137.1252697	0.196893993361	0	0	0	0	NA	NA	NA	NA
148.0595649	0.872937031293	0	0	0	0	NA	NA	NA	NA
148.1098693	0.081358720473	0	0	0	0	NA	NA	NA	NA
149.0648252	0.176801158937	0	0	0	0	NA	NA	NA	NA
149.0811323	0.103758666483	0	0	0	0	NA	NA	NA	NA
167.89135	0.248328203754	0	0	0	0	NA	NA	NA	NA
178.9393066	0.176801158937	0	0	0	0	NA	NA	NA	NA
184.0592008	0.198916809547	0	0	0	0	NA	NA	NA	NA
218.070417	0.162384288043	0	0	0	0	NA	NA	NA	NA
218.1100369	0.104547705772	0	0	0	0	NA	NA	NA	NA
219.0934632	0.155669146641	0	0	0	0	CC(N=C(O)CCC(N)C(=O)O)C(=O)O	1	-0.004633348	0
221.0947793	0.514848135972	0	0	0	0	NA	NA	NA	NA
221.1117018	0.234660279674	0	0	0	0	NA	NA	NA	NA
M	03-day-ctrl-msms-10 pos.FT2	1272705	279.003189087	1272.697	PositiveIon	1	0.000291137085981	5>20	0.495501056739	MetaCyC_2863	2-C-methyl-D-erythritol-2,4-cyclodiphosphate	InChI=1S/C5H12O9P2/c1-5(3-6)4(7)2-12-15(8,9)14-16(10,11)13-5/h4,6-7H,2-3H2,1H3,(H,8,9)(H,10,11)	InChI=1S/C5H12O9P2/c1-5(3-6)4(7)2-12-15(8,9)14-16(10,11)13-5/h4,6-7H,2-3H2,1H3,(H,8,9)(H,10,11)	NA	(MetaCyc=2C-METH-D-ERYTHRITOL-CYCLODIPHOSPHATE)
83.05046066	0.163982910807	0	0	0	0	NA	NA	NA	NA
83.06751727	0.0327204239328	0	0	0	0	NA	NA	NA	NA
83.08016934	0.0324714843883	0	0	0	0	NA	NA	NA	NA
98.98436881	0.112286478559	0	0	0	0	NA	NA	NA	NA
122.9845494	0.030246720269	0	0	0	0	CCOP(=O)(O)O	0	-0.000170838000003	2
149.0206274	0.036967176489	0	0	0	0	NA	NA	NA	NA
163.0146859	0.517110934547	0	0	0	0	NA	NA	NA	NA
163.0375914	0.0722985016177	0	0	0	0	NA	NA	NA	NA
163.0563322	0.0288492596513	0	0	0	0	NA	NA	NA	NA
164.0166758	0.0422028875606	0	0	0	0	CCC(C)(C)OP(=O)(O)O	0	-0.00716959800002	3
181.0223137	0.0805599997996	0	0	0	0	CC(O)C(C)(C)OP(=O)(O)O	0	-0.00427134999998	2
234.1455701	0.0319014703161	0	0	0	0	NA	NA	NA	NA
260.9100906	0.0358453085009	0	0	0	0	NA	NA	NA	NA
260.9932956	1.0	0	0	0	0	CC1(C)OP(=O)(O)OP(=O)(O)OCC1O	0	0.000380027999938	1
261.0726686	0.0494443896108	0	0	0	0	NA	NA	NA	NA
261.9901202	0.0235284130627	0	0	0	0	NA	NA	NA	NA
262.0140998	0.0325515700576	0	0	0	0	NA	NA	NA	NA
279.001789	0.0241560679284	0	0	0	0	CC1(CO)OP(=O)(O)OP(=O)(O)OCC1O	1	-0.00169122400007	0
281.0458691	0.0256712718412	0	0	0	0	NA	NA	NA	NA
1078.114057	0.0291793327545	0	0	0	0	NA	NA	NA	NA
M	03-day-ctrl-msms-10 pos.FT2	840583	276.107437134	840.575	PositiveIon	1	0.000889750211002	8>20	0.575001119969	MetaCyC_2705	1,6-anhydro-<i>N</i>-acetyl-&beta;-muramate	InChI=1S/C11H17NO7/c1-4(10(15)16)18-9-7(12-5(2)13)11-17-3-6(19-11)8(9)14/h4,6-9,11,14H,3H2,1-2H3,(H,12,13)(H,15,16)	InChI=1S/C11H17NO7/c1-4(10(15)16)18-9-7(12-5(2)13)11-17-3-6(19-11)8(9)14/h4,6-9,11,14H,3H2,1-2H3,(H,12,13)(H,15,16)	NA	(MetaCyc=CPD0-882)
61.00938819	0.0483417681702	0	0	0	0	NA	NA	NA	NA
83.06112089	0.165915588918	0	0	0	0	NA	NA	NA	NA
83.16615636	0.0395934928099	0	0	0	0	NA	NA	NA	NA
84.049609	0.112370103403	0	0	0	0	CCN=C(C)O	0	0.00467018800001	2
98.0662095	0.13407919352	0	0	0	0	CC=NCCOC	1	0.005620656	3
126.0492612	0.334727846819	0	0	0	0	NC1CCC2COC1O2	1	-0.00624226399999	3
138.0566576	1.0	0	0	0	0	NA	NA	NA	NA
138.0791811	0.205988994469	0	0	0	0	NA	NA	NA	NA
138.1001992	0.059040091861	0	0	0	0	NA	NA	NA	NA
138.1368546	0.0405631285497	0	0	0	0	NA	NA	NA	NA
144.0635219	0.489386958973	0	0	0	0	NC1CC(O)C2COC1O2	2	-0.00254621599998	2
168.0618957	0.634911181132	0	0	0	0	CC=NC1C2OCC(CC1O)O2	0	-0.00417247999999	3
168.0802593	0.0975522216752	0	0	0	0	NA	NA	NA	NA
168.0898931	0.0398951586634	0	0	0	0	NA	NA	NA	NA
168.1231791	0.0715555856771	0	0	0	0	NA	NA	NA	NA
186.0763744	0.868947085434	0	0	0	0	CC(O)=NC1CC(O)C2COC1O2	0	-0.000258464000012	1
186.1156581	0.060593996964	0	0	0	0	CCOC(CN=C(C)O)C(O)CC	1	0.00263975999999	3
200.3385773	0.0846546584364	0	0	0	0	NA	NA	NA	NA
276.1033925	0.19288295962	0	0	0	0	CC(O)=NC1C2OCC(O2)C(O)C1OC(C)C(=O)O	1	-0.00493438400008	0
1580.977939	0.0362536347807	0	0	0	0	NA	NA	NA	NA
M	03-day-ctrl-msms-10 pos.FT2	1303102	239.106148353	1303.095	PositiveIon	1	-0.00296642498978	5>20	0.661048671865	MetaCyC_3285	<i>N</i>-formylkynurenine	InChI=1S/C11H14N2O4/c12-8(11(16)17)5-10(15)7-3-1-2-4-9(7)13-6-14/h1-4,8,13-14H,5-6,12H2,(H,16,17)/t8-/m0/s1	InChI=1S/C11H14N2O4/c12-8(11(16)17)5-10(15)7-3-1-2-4-9(7)13-6-14/h1-4,8,13-14H,5-6,12H2,(H,16,17)/t8-/m0/s1	NA	(MetaCyc=N-FORMYLKYNURENINE)
70.06215564	0.00635841734155	0	0	0	0	NA	NA	NA	NA
83.06695184	0.00361958489837	0	0	0	0	NA	NA	NA	NA
88.07531403	0.0186616469962	0	0	0	0	NA	NA	NA	NA
112.0999129	0.010018903618	0	0	0	0	NA	NA	NA	NA
128.0953541	0.0105969164953	0	0	0	0	NA	NA	NA	NA
131.1177442	0.0888372171083	0	0	0	0	NA	NA	NA	NA
131.1472928	0.00658847062736	0	0	0	0	NA	NA	NA	NA
152.037758	0.0103523153623	0	0	0	0	cc(cN)C(=O)CCC(=O)O	0	0.00298994799999	3
192.0577777	0.00534074531449	0	0	0	0	NC(CC(=O)c1ccccc1)C(=O)O	0	-0.00829048	1
195.0801344	0.00473286982186	0	0	0	0	ccc(cC(=O)CC(N)C(=O)O)NC	0	0.00316718799999	2
239.105406	1.0	0	0	0	0	NC(CC(=O)c1ccccc1NCO)C(=O)O	1	0.00222407199999	0
239.2007962	0.0153736783935	0	0	0	0	NA	NA	NA	NA
239.220138	0.0129867439814	0	0	0	0	NA	NA	NA	NA
239.2495396	0.0097634170388	0	0	0	0	NA	NA	NA	NA
239.2829486	0.0039506291806	0	0	0	0	NA	NA	NA	NA
239.3068096	0.00365262659061	0	0	0	0	NA	NA	NA	NA
239.3431541	0.00342484932764	0	0	0	0	NA	NA	NA	NA
239.5654465	0.00359377072138	0	0	0	0	NA	NA	NA	NA
239.7126988	0.00410652970232	0	0	0	0	NA	NA	NA	NA
240.1099498	0.00504653643985	0	0	0	0	NC(CC(=O)c1ccccc1NCO)C(=O)O	2	-0.00105712799999	0
M	03-day-ctrl-msms-10 pos.FT2	293369	768.562367757	293.362	PositiveIon	1	-0.00803767116122	11>20	0.2659418168	MetaCyC_6503	1-20:1-2-18:3-phosphatidylethanolamine	InChI=1S/C43H78NO8P/c1-3-5-7-9-11-13-15-17-19-20-22-23-25-27-29-31-33-35-42(45)49-39-41(40-51-53(47,48)50-38-37-44)52-43(46)36-34-32-30-28-26-24-21-18-16-14-12-10-8-6-4-2/h6,8,12,14,17-19,21,41H,3-5,7,9-11,13,15-16,20,22-40,44H2,1-2H3,(H,47,48)/b8-6-,14-12-,19-17-,21-18-	InChI=1S/C43H78NO8P/c1-3-5-7-9-11-13-15-17-19-20-22-23-25-27-29-31-33-35-42(45)49-39-41(40-51-53(47,48)50-38-37-44)52-43(46)36-34-32-30-28-26-24-21-18-16-14-12-10-8-6-4-2/h6,8,12,14,17-19,21,41H,3-5,7,9-11,13,15-16,20,22-40,44H2,1-2H3,(H,47,48)/b8-6-,14-12-,19-17-,21-18-	NA	(MetaCyc=CPD-8386)
233.186665	0.0188855506251	0	0	0	0	C=CCC=CCC=CCCCCCCCC=O	1	-0.00387538799998	2
243.2060391	0.0236487604198	0	0	0	0	NA	NA	NA	NA
261.2190501	0.0670701002749	0	0	0	0	CCC=CCC=CCC=CCCCCCCCC=O	0	-0.00279044799998	1
261.2523137	0.0187673060735	0	0	0	0	NA	NA	NA	NA
311.2575351	0.375833987718	0	0	0	0	CCCCCC=CCCCCCCCCCC(=O)OCCO	2	-0.001084816	3
335.2567964	0.368502821246	0	0	0	0	CCC=CCC=CCC=CCCCCCCCC(=O)OC(C)CO	1	-0.00182354799995	2
335.3116009	0.0286246951393	0	0	0	0	NA	NA	NA	NA
335.3366978	0.0167177826296	0	0	0	0	CCCCCCCCC=CCCCCCCCCCCOCCC	1	0.00530683600005	3
571.4719353	0.3356351436	0	0	0	0	CCC=CCC=CCC=CCCCCCCCC(=O)OCCOC(=O)CCCCCCCCCC=CCCCCC	1	-0.000700163999909	2
571.5545662	0.027724637058	0	0	0	0	NA	NA	NA	NA
572.4804986	0.0230088280348	0	0	0	0	CC=CCC=CCCCCCCCC(=O)OC(C)COC(=O)CCCCCCCCCC=CCCCCCCCC	0	3.80720001658e-05	2
578.5242677	0.0867009877382	0	0	0	0	NA	NA	NA	NA
579.5358531	0.0224956709344	0	0	0	0	NA	NA	NA	NA
589.4811001	1.0	0	0	0	0	CC=CCC=CCCCCCCCC(=O)OC(CO)COC(=O)CCCCCCCCCC=CCCCCCCCC	1	-0.00210004799987	2
589.5879826	0.0580940558	0	0	0	0	NA	NA	NA	NA
589.7772377	0.0183566684206	0	0	0	0	NA	NA	NA	NA
590.4864347	0.0507382781979	0	0	0	0	CC=CCC=CCCCCCCCC(=O)OC(CO)COC(=O)CCCCCCCCCC=CCCCCCCCC	2	-0.00459044799993	2
733.5376364	0.0197922564202	0	0	0	0	NA	NA	NA	NA
751.543675	0.0206170271819	0	0	0	0	CCC=CCC=CCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCC=CCCCCCCCC)COP(=O)OCCN	1	-0.00791543400021	1
768.5564585	0.255972760964	0	0	0	0	CCC=CCC=CCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCC=CCCCCCCCC)COP(=O)(O)OCCN	1	0.00212841399969	0
M	03-day-ctrl-msms-10 pos.FT2	418616	195.122612476	418.608	PositiveIon	1	-0.00925978834888	5>20	0.453779167149	MetaCyC_7450	6-hydroxypseudooxynicotine	InChI=1S/C10H14N2O2/c1-11-6-2-3-9(13)8-4-5-10(14)12-7-8/h4-5,7,11H,2-3,6H2,1H3,(H,12,14)	InChI=1S/C10H14N2O2/c1-11-6-2-3-9(13)8-4-5-10(14)12-7-8/h4-5,7,11H,2-3,6H2,1H3,(H,12,14)	NA	(MetaCyc=CPD-107)
89.0626308	1.0	0	0	0	0	NA	NA	NA	NA
89.08727126	0.511715745084	0	0	0	0	NA	NA	NA	NA
89.10339981	0.246611161472	0	0	0	0	NA	NA	NA	NA
107.0727834	0.163148727489	0	0	0	0	ccc(cn)CCC	2	-0.000715823999982	3
127.7335363	0.129260264889	0	0	0	0	NA	NA	NA	NA
132.8588737	0.152498065318	0	0	0	0	NA	NA	NA	NA
133.0893302	0.379299002854	0	0	0	0	CCCCc1cccnc1	2	0.000180912000019	3
134.351843	0.260844318651	0	0	0	0	NA	NA	NA	NA
134.8318333	0.121376008018	0	0	0	0	NA	NA	NA	NA
136.1215129	0.124903177308	0	0	0	0	ccc(c)CCCCNC	1	0.00888848400001	2
194.1452885	0.660824949712	0	0	0	0	NA	NA	NA	NA
194.1607215	0.180092953328	0	0	0	0	NA	NA	NA	NA
195.1101244	0.849632078201	0	0	0	0	CNCCCC(=O)c1ccc(O)nc1	1	-0.003228288	0
195.1230922	0.210108452947	0	0	0	0	CNCCCC(=O)c1ccc(O)nc1	1	0.00973951200001	0
251.9310028	0.132994908233	0	0	0	0	NA	NA	NA	NA
377.8173696	0.128534083625	0	0	0	0	NA	NA	NA	NA
480.0336568	0.14233152763	0	0	0	0	NA	NA	NA	NA
610.4357769	0.307278411453	0	0	0	0	NA	NA	NA	NA
733.7173376	0.14233152763	0	0	0	0	NA	NA	NA	NA
1516.438197	0.141294124248	0	0	0	0	NA	NA	NA	NA
M	03-day-ctrl-msms-10 pos.FT2	435267	102.127818934	435.259	PositiveIon	1	0.000455545877273	6>20	1.44371081871	MetaCyC_3084	hexylamine	InChI=1S/C6H15N/c1-2-3-4-5-6-7/h2-7H2,1H3	InChI=1S/C6H15N/c1-2-3-4-5-6-7/h2-7H2,1H3	NA	(MetaCyc=CPD-10098)
56.0528566	0.108888553952	0	0	0	0	CCCC	0	-0.009743656	2
58.03226818	0.393410741236	0	0	0	0	NA	NA	NA	NA
58.06605693	0.853446557959	0	0	0	0	CCCN	0	0.000382674000008	1
58.08282577	0.144845708202	0	0	0	0	CCCC	1	0.00457548200001	1
59.02668735	0.113421553831	0	0	0	0	NA	NA	NA	NA
59.03874107	0.105320014272	0	0	0	0	NA	NA	NA	NA
59.07097738	0.0865514455737	0	0	0	0	CCCN	1	-0.00252187599999	1
69.03096674	0.0866414612936	0	0	0	0	NA	NA	NA	NA
74.09866102	0.102619501085	0	0	0	0	CCCCN	2	0.00168670000001	1
83.08565417	0.0865514455737	0	0	0	0	NA	NA	NA	NA
101.078486	0.895220121312	0	0	0	0	NA	NA	NA	NA
101.0919295	0.212665413434	0	0	0	0	NA	NA	NA	NA
101.107414	0.124358630184	0	0	0	0	NA	NA	NA	NA
102.1285804	1.0	0	0	0	0	CCCCCCN	1	0.000305920000017	0
102.1448462	0.211508044776	0	0	0	0	NA	NA	NA	NA
177.618568	0.0866414612936	0	0	0	0	NA	NA	NA	NA
424.2988155	0.0976685636823	0	0	0	0	NA	NA	NA	NA
523.5121603	0.0972934912422	0	0	0	0	NA	NA	NA	NA
703.4079279	0.161355662891	0	0	0	0	NA	NA	NA	NA
758.5515309	0.08156777471	0	0	0	0	NA	NA	NA	NA
M	03-day-ctrl-msms-10 pos.FT2	596661	770.577194214	596.653	PositiveIon	1	-0.00721406386697	12>20	0.319272756659	MetaCyC_6485	1-20:0-2-18:3-phosphatidylethanolamine	InChI=1S/C43H80NO8P/c1-3-5-7-9-11-13-15-17-19-20-22-23-25-27-29-31-33-35-42(45)49-39-41(40-51-53(47,48)50-38-37-44)52-43(46)36-34-32-30-28-26-24-21-18-16-14-12-10-8-6-4-2/h6,8,12,14,18,21,41H,3-5,7,9-11,13,15-17,19-20,22-40,44H2,1-2H3,(H,47,48)/b8-6-,14-12-,21-18-	InChI=1S/C43H80NO8P/c1-3-5-7-9-11-13-15-17-19-20-22-23-25-27-29-31-33-35-42(45)49-39-41(40-51-53(47,48)50-38-37-44)52-43(46)36-34-32-30-28-26-24-21-18-16-14-12-10-8-6-4-2/h6,8,12,14,18,21,41H,3-5,7,9-11,13,15-17,19-20,22-40,44H2,1-2H3,(H,47,48)/b8-6-,14-12-,21-18-	NA	(MetaCyc=CPD-8385)
69.06796305	0.0687217861042	0	0	0	0	CC=CCC	0	-0.00246223799999	1
95.08983496	0.0842950341774	0	0	0	0	C=CCC=CCC	0	0.00375960800001	1
243.2098817	0.074873496212	0	0	0	0	NA	NA	NA	NA
263.2461229	0.0855067306966	0	0	0	0	CCC=CCC=CCC=CCCCCCCCC=O	2	0.00863235200001	1
311.2560652	0.858610507021	0	0	0	0	CCCCCCCCCCCCCCCCC(=O)OCCO	0	-0.00255477999997	3
311.2912879	0.121680619354	0	0	0	0	CCCCCCCCCCCCCCCCCCCC(=O)O	0	-0.00371758800003	1
312.252225	0.1697261896	0	0	0	0	NA	NA	NA	NA
312.2734752	0.0691706974208	0	0	0	0	CCCCCCCCCCCCCCCCC(=O)OCCO	1	0.00703021999999	3
337.2721061	0.607308104706	0	0	0	0	NA	NA	NA	NA
337.3149476	0.0822573964366	0	0	0	0	CCCCCCCCCCCCCCCCCCC(=O)OCCC	0	0.00429204800002	3
411.2997015	0.071381986026	0	0	0	0	NA	NA	NA	NA
572.4791547	0.154202494327	0	0	0	0	CCC=CCC=CCC=CCCCCCCCC(=O)OCCOC(=O)CCCCCCCCCCCCCCCC	0	-0.00130582799989	2
573.486704	0.673512305424	0	0	0	0	CCC=CCC=CCC=CCCCCCCCC(=O)OCCOC(=O)CCCCCCCCCCCCCCCC	1	-0.00158152799986	2
573.5342886	0.171927551081	0	0	0	0	CCC=CCC=CCCCCCCCC(=O)OC(C)COCCCCCCCCCCCCCCCCCCCC	2	0.009617596	3
590.4800237	0.142101997285	0	0	0	0	NA	NA	NA	NA
591.4936633	1.0	0	0	0	0	CC=CCC=CCCCCCCCC(=O)OC(CO)COC(=O)CCCCCCCCCCCCCCCCCCC	1	-0.005186912	2
591.5496459	0.163823871392	0	0	0	0	NA	NA	NA	NA
592.36052	0.0714374051378	0	0	0	0	NA	NA	NA	NA
592.5547282	0.0691512989626	0	0	0	0	NA	NA	NA	NA
770.5703972	0.200781725513	0	0	0	0	CCC=CCC=CCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCCCCCC)COP(=O)(O)OCCN	1	0.000417049999783	0
M	03-day-ctrl-msms-10 pos.FT2	735625	121.050858329	735.617	PositiveIon	1	0.00056279867583	5>20	1.13463820405	MetaCyC_9165	purine	InChI=1S/C5H4N4/c1-4-5(8-2-6-1)9-3-7-4/h1-3H,(H,6,7,8,9)	InChI=1S/C5H4N4/c1-4-5(8-2-6-1)9-3-7-4/h1-3H,(H,6,7,8,9)	NA	(MetaCyc=PURINE)
52.01763345	0.0489524261237	0	0	0	0	ccnc	1	-0.001090582	2
55.57640141	0.0150408425481	0	0	0	0	NA	NA	NA	NA
57.02872099	0.0223976438417	0	0	0	0	NA	NA	NA	NA
64.92744315	0.0849243995665	0	0	0	0	NA	NA	NA	NA
67.02938599	0.145426263246	0	0	0	0	c1c[nH]cn1	1	-0.000237073999998	1
67.05336048	0.018712655885	0	0	0	0	NA	NA	NA	NA
77.02107425	0.0142813255023	0	0	0	0	NA	NA	NA	NA
91.94864591	0.0183253449614	0	0	0	0	NA	NA	NA	NA
94.04074316	0.43352828747	0	0	0	0	cnc1cnc[nH]1	1	0.000221064000016	1
94.0537066	0.0803865187596	0	0	0	0	ccc(nc)[nH]c	2	0.00060847200001	2
94.06671798	0.044309386499	0	0	0	0	NA	NA	NA	NA
94.09123098	0.0184007576178	0	0	0	0	NA	NA	NA	NA
